cell_line,histotype_code,patient_id,rna_passage,wes_passage,tmt_plex,gene,rna_gene_ids,rna_tpm,rna_log2_tpm_plus1,rna_rank_all_models_desc,rna_n_measured_models,rna_rank_within_histotype_desc,rna_n_measured_within_histotype,rna_histotype_patient_median_log2_tpm_plus1,rna_histotype_measured_patients,rna_log2_tpm_plus1_delta_histotype_patient_median,protein_row,protein_uniprot,protein_isodoping,protein_unique_peptides,protein_log2_normalised,protein_rank_all_models_desc,protein_n_measured_models,interpretation
OV1369-R2,HGS,1369,p69,P66,1.0,CCNE1,ENSG00000105173,20.889146,4.452143764088775,23.0,31,13.0,15,5.363526958361573,12.0,-0.9113831942727977,CCNE1,P24864,True,5,12.5268281602376,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4841,CC,VOA4841,p43,NA,3.0,PTEN,ENSG00000171862,7.963608,3.164079557725819,13.0,31,4.0,7,3.164079557725819,7.0,0.0,PTEN,P60484,True,5,12.32900397394501,19.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA6861,CC,VOA6861,p17,NA,NA,PTEN,ENSG00000171862,0.0450394,0.0635573357157922,31.0,31,7.0,7,3.164079557725819,7.0,-3.1005222220100266,PTEN,P60484,True,5,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV112D,EC,TOV112D,p63,P83,4.0,PTEN,ENSG00000171862,15.424646000000005,4.037790371398551,6.0,31,1.0,2,3.4918166305712575,2.0,0.5459737408272938,PTEN,P60484,True,5,12.49153073876402,12.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4395,EC,VOA4395,p39-40,NA,1.0,PTEN,ENSG00000171862,6.705255999999999,2.945842889743964,15.0,31,2.0,2,3.4918166305712575,2.0,-0.5459737408272933,PTEN,P60484,True,5,12.14053874782764,23.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2414,MC,TOV2414,p69,P65,5.0,PTEN,ENSG00000171862,1.783052,1.476667864990492,26.0,31,3.0,3,4.46195131351628,3.0,-2.9852834485257875,PTEN,P60484,True,5,12.60444131095718,6.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8762,MC,VOA8762,p27,NA,4.0,PTEN,ENSG00000171862,28.027724999999997,4.859359602441655,3.0,31,1.0,3,4.46195131351628,3.0,0.3974082889253756,PTEN,P60484,True,5,12.45403876781935,16.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8771,MC,VOA8771,p28,NA,5.0,PTEN,ENSG00000171862,21.038457,4.46195131351628,4.0,31,2.0,3,4.46195131351628,3.0,0.0,PTEN,P60484,True,5,12.60603976639214,5.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5217,MMMT,VOA5217,p36,NA,4.0,PTEN,ENSG00000171862,9.772808,3.42932244130228,11.0,31,2.0,2,3.757776984325696,2.0,-0.3284545430234158,PTEN,P60484,True,5,12.6649555725347,3.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5436,MMMT,VOA5436,p35,NA,5.0,PTEN,ENSG00000171862,15.985497,4.086231527349112,5.0,31,1.0,2,3.757776984325696,2.0,0.3284545430234158,PTEN,P60484,True,5,12.47912921969191,13.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
BIN67,SCCOHT,BIN67,p51,NA,3.0,PTEN,ENSG00000171862,11.937271999999998,3.693461532388771,9.0,31,1.0,2,3.4793930255400927,2.0,0.21406850684867829,PTEN,P60484,True,5,12.34385730068326,18.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
COV434,SCCOHT,COV434,p46,NA,1.0,PTEN,ENSG00000171862,8.615251,3.265324518691414,12.0,31,2.0,2,3.4793930255400927,2.0,-0.21406850684867873,PTEN,P60484,True,5,12.12507534165489,25.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1369-R2,HGS,1369,p69,P66,1.0,KRAS,ENSG00000133703,5.852861,2.776706424392406,16.0,31,5.0,15,1.8410806263188548,12.0,0.9356257980735512,KRAS,P01116,False,8,10.86428417266596,8.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1946,HGS,OV1946,p64,NA,5.0,KRAS,ENSG00000133703,19.849366,4.381931608890026,7.0,31,4.0,15,1.8410806263188548,12.0,2.5408509825711714,KRAS,P01116,False,8,11.42535688311135,3.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2085,HGS,OV2085,p68,P64,2.0,KRAS,ENSG00000133703,1.8346131,1.5031518332970093,29.0,31,13.0,15,1.8410806263188548,12.0,-0.33792879302184553,KRAS,P01116,False,8,10.40601945260994,30.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295,HGS,2295,p64,P61,5.0,KRAS,ENSG00000133703,1.9338224,1.5527815395885454,26.0,31,11.0,15,1.8410806263188548,12.0,-0.28829908673030946,KRAS,P01116,False,8,10.78283458439509,12.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295-R2,HGS,2295,p67,P70,3.0,KRAS,ENSG00000133703,2.5173005,1.8144685966464678,22.0,31,7.0,15,1.8410806263188548,12.0,-0.026612029672387072,KRAS,P01116,False,8,10.86253070808672,9.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R,HGS,3133,p64,P71,1.0,KRAS,ENSG00000133703,0.6713836,0.7410428849881134,31.0,31,15.0,15,1.8410806263188548,12.0,-1.1000377413307414,KRAS,P01116,False,8,10.77152446011489,13.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R2,HGS,3133,NA,P58,NA,KRAS,ENSG00000133703,NA,NA,NA,31,NA,15,1.8410806263188548,12.0,NA,KRAS,P01116,False,8,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3291,HGS,3291,NA,P46,NA,KRAS,ENSG00000133703,NA,NA,NA,31,NA,15,1.8410806263188548,12.0,NA,KRAS,P01116,False,8,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4453,HGS,OV4453,p60,NA,4.0,KRAS,ENSG00000133703,22.431529,4.5503791937211355,5.0,31,2.0,15,1.8410806263188548,12.0,2.7092985674022807,KRAS,P01116,False,8,10.85913263446661,10.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4485,HGS,OV4485,p60,NA,2.0,KRAS,ENSG00000133703,1.767727,1.4687016470317624,30.0,31,14.0,15,1.8410806263188548,12.0,-0.3723789792870924,KRAS,P01116,False,8,10.52260202517856,26.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV866-2,HGS,OV866-2,p67,NA,1.0,KRAS,ENSG00000133703,116.06948,6.871221204199724,2.0,31,1.0,15,1.8410806263188548,12.0,5.03014057788087,KRAS,P01116,False,8,13.78335782435994,1.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV1369,HGS,1369,p65,P65,2.0,KRAS,ENSG00000133703,2.3180715999999997,1.7303450182559241,23.0,31,8.0,15,1.8410806263188548,12.0,-0.1107356080629307,KRAS,P01116,False,8,10.69031242094376,18.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2295-R,HGS,2295,NA,P57,NA,KRAS,ENSG00000133703,NA,NA,NA,31,NA,15,1.8410806263188548,12.0,NA,KRAS,P01116,False,8,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2835EP,HGS,TOV2835EP,NA,P64,NA,KRAS,ENSG00000133703,NA,NA,NA,31,NA,15,1.8410806263188548,12.0,NA,KRAS,P01116,False,8,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2881EP,HGS,TOV2881EP,NA,P64,NA,KRAS,ENSG00000133703,NA,NA,NA,31,NA,15,1.8410806263188548,12.0,NA,KRAS,P01116,False,8,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2929D,HGS,TOV2929D,NA,P57,NA,KRAS,ENSG00000133703,NA,NA,NA,31,NA,15,1.8410806263188548,12.0,NA,KRAS,P01116,False,8,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3041G,HGS,TOV3041G,p67,NA,3.0,KRAS,ENSG00000133703,2.0538392,1.6106240989815013,24.0,31,9.0,15,1.8410806263188548,12.0,-0.23045652733735356,KRAS,P01116,False,8,10.41660094200553,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121D,HGS,3121,NA,P68,NA,KRAS,ENSG00000133703,NA,NA,NA,31,NA,15,1.8410806263188548,12.0,NA,KRAS,P01116,False,8,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121EP,HGS,3121,NA,P68,NA,KRAS,ENSG00000133703,NA,NA,NA,31,NA,15,1.8410806263188548,12.0,NA,KRAS,P01116,False,8,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133D,HGS,3133,NA,P66,NA,KRAS,ENSG00000133703,NA,NA,NA,31,NA,15,1.8410806263188548,12.0,NA,KRAS,P01116,False,8,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133G,HGS,3133,p61,P65,4.0,KRAS,ENSG00000133703,1.9249844,1.5484289303019725,27.0,31,12.0,15,1.8410806263188548,12.0,-0.29265169601688235,KRAS,P01116,False,8,10.94776999358109,5.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3291G,HGS,3291,p62,NA,2.0,KRAS,ENSG00000133703,2.035085,1.6017369208833616,25.0,31,10.0,15,1.8410806263188548,12.0,-0.23934370543549321,KRAS,P01116,False,8,10.71036689604725,16.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3331,HGS,OV3331,p71,P54,4.0,KRAS,ENSG00000133703,2.9959435,1.9985361845202032,21.0,31,6.0,15,1.8410806263188548,12.0,0.15745555820134838,KRAS,P01116,False,8,10.53006666268414,25.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV90,HGS,OV90,p70,P63,5.0,KRAS,ENSG00000133703,21.653778,4.5016797653507306,6.0,31,3.0,15,1.8410806263188548,12.0,2.6605991390318757,KRAS,P01116,False,8,10.47269071885056,28.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV81D,LGS,TOV81D,NA,P23,NA,KRAS,ENSG00000133703,NA,NA,NA,31,NA,0,NA,0.0,NA,KRAS,P01116,False,8,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV21G,CC,TOV21G,p63,P59,5.0,KRAS,ENSG00000133703,4.963286699999999,2.5761076996205663,18.0,31,5.0,7,2.694211407145884,7.0,-0.11810370752531751,KRAS,P01116,False,8,10.68542899881525,19.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3392D,CC,TOV3392D,p69,P69,1.0,KRAS,ENSG00000133703,3.2516741,2.0880310154171586,20.0,31,7.0,7,2.694211407145884,7.0,-0.6061803917287252,KRAS,P01116,False,8,11.2132836982026,4.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA10816,CC,VOA10816,p20,NA,1.0,KRAS,ENSG00000133703,4.69366,2.509356344334247,19.0,31,6.0,7,2.694211407145884,7.0,-0.184855062811637,KRAS,P01116,False,8,10.90398900879153,6.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA12539,CC,VOA12539,p41,NA,2.0,KRAS,ENSG00000133703,8.422991099999999,3.236185081088522,13.0,31,3.0,7,2.694211407145884,7.0,0.5419736739426382,KRAS,P01116,False,8,10.53700687522512,24.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA14993,CC,VOA14993,NA,NA,3.0,KRAS,ENSG00000133703,NA,NA,NA,31,NA,7,2.694211407145884,7.0,NA,KRAS,P01116,False,8,10.32862568637896,31.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA295,CC,VOA295,p31,NA,2.0,KRAS,ENSG00000133703,9.303684,3.3650883486326895,12.0,31,2.0,7,2.694211407145884,7.0,0.6708769414868057,KRAS,P01116,False,8,10.70910423006668,17.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4841,CC,VOA4841,p43,NA,3.0,KRAS,ENSG00000133703,5.471999100000001,2.694211407145884,17.0,31,4.0,7,2.694211407145884,7.0,0.0,KRAS,P01116,False,8,10.48248274173206,27.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA6861,CC,VOA6861,p17,NA,NA,KRAS,ENSG00000133703,12.442625,3.7487429818655675,10.0,31,1.0,7,2.694211407145884,7.0,1.0545315747196837,KRAS,P01116,False,8,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV112D,EC,TOV112D,p63,P83,4.0,KRAS,ENSG00000133703,183.94982,7.530990086153185,1.0,31,1.0,2,6.056573713181175,2.0,1.4744163729720103,KRAS,P01116,False,8,11.82895707854795,2.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4395,EC,VOA4395,p39-40,NA,1.0,KRAS,ENSG00000133703,22.95338,4.5821573402091635,4.0,31,2.0,2,6.056573713181175,2.0,-1.4744163729720112,KRAS,P01116,False,8,10.83311158536932,11.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2414,MC,TOV2414,p69,P65,5.0,KRAS,ENSG00000133703,1.889632,1.5308857745322126,28.0,31,3.0,3,4.020888634385951,3.0,-2.4900028598537385,KRAS,P01116,False,8,10.89988514516997,7.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8762,MC,VOA8762,p27,NA,4.0,KRAS,ENSG00000133703,15.2333476,4.020888634385951,9.0,31,2.0,3,4.020888634385951,3.0,0.0,KRAS,P01116,False,8,10.65752469156521,22.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8771,MC,VOA8771,p28,NA,5.0,KRAS,ENSG00000133703,23.80591,4.632611978076674,3.0,31,1.0,3,4.020888634385951,3.0,0.6117233436907226,KRAS,P01116,False,8,10.74858951655279,15.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5217,MMMT,VOA5217,p36,NA,4.0,KRAS,ENSG00000133703,6.672401,2.939678125151777,15.0,31,2.0,2,3.511187973180113,2.0,-0.5715098480283358,KRAS,P01116,False,8,10.66538692642675,21.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5436,MMMT,VOA5436,p35,NA,5.0,KRAS,ENSG00000133703,15.943944,4.082697821208448,8.0,31,1.0,2,3.511187973180113,2.0,0.5715098480283354,KRAS,P01116,False,8,10.76840262415396,14.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
BIN67,SCCOHT,BIN67,p51,NA,3.0,KRAS,ENSG00000133703,7.4201791,3.0738509202196784,14.0,31,2.0,2,3.2824254984983607,2.0,-0.2085745782786823,KRAS,P01116,False,8,10.53825989774923,23.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
COV434,SCCOHT,COV434,p46,NA,1.0,KRAS,ENSG00000133703,10.243350200000002,3.491000076777043,11.0,31,1.0,2,3.2824254984983607,2.0,0.2085745782786823,KRAS,P01116,False,8,10.67393516773486,20.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1369-R2,HGS,1369,p69,P66,1.0,NRAS,ENSG00000213281,2.88581,1.9582153608411343,31.0,31,15.0,15,3.874679982161891,12.0,-1.9164646213207566,NRAS,P01111,False,6,11.50827145383628,31.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1946,HGS,OV1946,p64,NA,5.0,NRAS,ENSG00000213281,39.9787,5.356802312196456,4.0,31,3.0,15,3.874679982161891,12.0,1.4821223300345654,NRAS,P01111,False,6,13.15219493175508,1.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2085,HGS,OV2085,p68,P64,2.0,NRAS,ENSG00000213281,11.555,3.6501901234967753,22.0,31,8.0,15,3.874679982161891,12.0,-0.22448985866511562,NRAS,P01111,False,6,11.85272509268345,26.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295,HGS,2295,p64,P61,5.0,NRAS,ENSG00000213281,10.7565,3.555386717630016,23.0,31,9.0,15,3.874679982161891,12.0,-0.3192932645318751,NRAS,P01111,False,6,12.52276930208394,3.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2295-R2,HGS,2295,p67,P70,3.0,NRAS,ENSG00000213281,6.44821,2.896893749815011,28.0,31,13.0,15,3.874679982161891,12.0,-0.97778623234688,NRAS,P01111,False,6,12.02600748426588,20.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R,HGS,3133,p64,P71,1.0,NRAS,ENSG00000213281,16.7499,4.149738991622401,16.0,31,5.0,15,3.874679982161891,12.0,0.2750590094605103,NRAS,P01111,False,6,11.92435487528309,25.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3133-R2,HGS,3133,NA,P58,NA,NRAS,ENSG00000213281,NA,NA,NA,31,NA,15,3.874679982161891,12.0,NA,NRAS,P01111,False,6,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3291,HGS,3291,NA,P46,NA,NRAS,ENSG00000213281,NA,NA,NA,31,NA,15,3.874679982161891,12.0,NA,NRAS,P01111,False,6,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4453,HGS,OV4453,p60,NA,4.0,NRAS,ENSG00000213281,45.1318,5.527689680384583,3.0,31,2.0,15,3.874679982161891,12.0,1.653009698222692,NRAS,P01111,False,6,12.43521391509792,6.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV4485,HGS,OV4485,p60,NA,2.0,NRAS,ENSG00000213281,9.34705,3.3711476010650814,25.0,31,11.0,15,3.874679982161891,12.0,-0.5035323810968095,NRAS,P01111,False,6,13.04468785234833,2.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV866-2,HGS,OV866-2,p67,NA,1.0,NRAS,ENSG00000213281,14.0882,3.915348799627526,20.0,31,7.0,15,3.874679982161891,12.0,0.04066881746563489,NRAS,P01111,False,6,12.52151706882365,4.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV1369,HGS,1369,p65,P65,2.0,NRAS,ENSG00000213281,4.28176,2.401018747798774,30.0,31,14.0,15,3.874679982161891,12.0,-1.4736612343631168,NRAS,P01111,False,6,12.12377052463431,16.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2295-R,HGS,2295,NA,P57,NA,NRAS,ENSG00000213281,NA,NA,NA,31,NA,15,3.874679982161891,12.0,NA,NRAS,P01111,False,6,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2835EP,HGS,TOV2835EP,NA,P64,NA,NRAS,ENSG00000213281,NA,NA,NA,31,NA,15,3.874679982161891,12.0,NA,NRAS,P01111,False,6,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2881EP,HGS,TOV2881EP,NA,P64,NA,NRAS,ENSG00000213281,NA,NA,NA,31,NA,15,3.874679982161891,12.0,NA,NRAS,P01111,False,6,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2929D,HGS,TOV2929D,NA,P57,NA,NRAS,ENSG00000213281,NA,NA,NA,31,NA,15,3.874679982161891,12.0,NA,NRAS,P01111,False,6,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3041G,HGS,TOV3041G,p67,NA,3.0,NRAS,ENSG00000213281,14.7612,3.9783054753759717,19.0,31,6.0,15,3.874679982161891,12.0,0.10362549321408077,NRAS,P01111,False,6,12.03040609231204,19.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121D,HGS,3121,NA,P68,NA,NRAS,ENSG00000213281,NA,NA,NA,31,NA,15,3.874679982161891,12.0,NA,NRAS,P01111,False,6,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3121EP,HGS,3121,NA,P68,NA,NRAS,ENSG00000213281,NA,NA,NA,31,NA,15,3.874679982161891,12.0,NA,NRAS,P01111,False,6,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133D,HGS,3133,NA,P66,NA,NRAS,ENSG00000213281,NA,NA,NA,31,NA,15,3.874679982161891,12.0,NA,NRAS,P01111,False,6,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3133G,HGS,3133,p61,P65,4.0,NRAS,ENSG00000213281,10.458,3.518283337770111,24.0,31,10.0,15,3.874679982161891,12.0,-0.3563966443917801,NRAS,P01111,False,6,12.1999429777569,11.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3291G,HGS,3291,p62,NA,2.0,NRAS,ENSG00000213281,8.35444,3.225651289660073,27.0,31,12.0,15,3.874679982161891,12.0,-0.649028692501818,NRAS,P01111,False,6,11.94900177969645,24.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV3331,HGS,OV3331,p71,P54,4.0,NRAS,ENSG00000213281,21.9952,4.523260840452715,11.0,31,4.0,15,3.874679982161891,12.0,0.6485808582908241,NRAS,P01111,False,6,12.44093911854402,5.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV90,HGS,OV90,p70,P63,5.0,NRAS,ENSG00000213281,48.2113,5.620917723096537,2.0,31,1.0,15,3.874679982161891,12.0,1.746237740934646,NRAS,P01111,False,6,12.22553829487363,9.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV81D,LGS,TOV81D,NA,P23,NA,NRAS,ENSG00000213281,NA,NA,NA,31,NA,0,NA,0.0,NA,NRAS,P01111,False,6,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV21G,CC,TOV21G,p63,P59,5.0,NRAS,ENSG00000213281,21.7467,4.507585354969513,12.0,31,4.0,7,4.507585354969513,7.0,0.0,NRAS,P01111,False,6,12.29141039069406,7.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV3392D,CC,TOV3392D,p69,P69,1.0,NRAS,ENSG00000213281,9.06111,3.330717575294693,26.0,31,7.0,7,4.507585354969513,7.0,-1.17686777967482,NRAS,P01111,False,6,12.28033614271064,8.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA10816,CC,VOA10816,p20,NA,1.0,NRAS,ENSG00000213281,29.0519,4.909384301594992,6.0,31,1.0,7,4.507585354969513,7.0,0.40179894662547877,NRAS,P01111,False,6,11.68948819978571,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA12539,CC,VOA12539,p41,NA,2.0,NRAS,ENSG00000213281,27.2685,4.821123426943073,9.0,31,3.0,7,4.507585354969513,7.0,0.3135380719735599,NRAS,P01111,False,6,11.96232590828378,23.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA14993,CC,VOA14993,NA,NA,3.0,NRAS,ENSG00000213281,NA,NA,NA,31,NA,7,4.507585354969513,7.0,NA,NRAS,P01111,False,6,12.21331879441093,10.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA295,CC,VOA295,p31,NA,2.0,NRAS,ENSG00000213281,28.3251,4.874064122808941,7.0,31,2.0,7,4.507585354969513,7.0,0.36647876783942834,NRAS,P01111,False,6,12.13198660189828,15.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4841,CC,VOA4841,p43,NA,3.0,NRAS,ENSG00000213281,15.7463,4.065770470379853,18.0,31,6.0,7,4.507585354969513,7.0,-0.4418148845896601,NRAS,P01111,False,6,12.19677171589388,12.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA6861,CC,VOA6861,p17,NA,NA,NRAS,ENSG00000213281,17.9848,4.246772895502094,15.0,31,5.0,7,4.507585354969513,7.0,-0.26081245946741927,NRAS,P01111,False,6,NA,NA,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV112D,EC,TOV112D,p63,P83,4.0,NRAS,ENSG00000213281,53.5299,5.768975604651602,1.0,31,1.0,2,4.9462381345012805,2.0,0.8227374701503214,NRAS,P01111,False,6,11.9748737391568,22.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA4395,EC,VOA4395,p39-40,NA,1.0,NRAS,ENSG00000213281,16.43,4.12350066435096,17.0,31,2.0,2,4.9462381345012805,2.0,-0.8227374701503205,NRAS,P01111,False,6,11.63860943335315,30.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
TOV2414,MC,TOV2414,p69,P65,5.0,NRAS,ENSG00000213281,5.36623,2.670439279792765,29.0,31,3.0,3,4.411649954585716,3.0,-1.741210674792951,NRAS,P01111,False,6,12.19338582999799,13.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8762,MC,VOA8762,p27,NA,4.0,NRAS,ENSG00000213281,28.0052,4.858239662082697,8.0,31,1.0,3,4.411649954585716,3.0,0.44658970749698135,NRAS,P01111,False,6,11.97786050488496,21.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA8771,MC,VOA8771,p28,NA,5.0,NRAS,ENSG00000213281,20.2833,4.411649954585716,13.0,31,2.0,3,4.411649954585716,3.0,0.0,NRAS,P01111,False,6,11.83293949069678,27.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5217,MMMT,VOA5217,p36,NA,4.0,NRAS,ENSG00000213281,11.8339,3.6818877419847373,21.0,31,2.0,2,4.015407071263147,2.0,-0.33351932927840977,NRAS,P01111,False,6,12.04198282912222,18.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
VOA5436,MMMT,VOA5436,p35,NA,5.0,NRAS,ENSG00000213281,19.3778,4.348926400541557,14.0,31,1.0,2,4.015407071263147,2.0,0.33351932927840977,NRAS,P01111,False,6,11.80467577146637,28.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
BIN67,SCCOHT,BIN67,p51,NA,3.0,NRAS,ENSG00000213281,25.5863,4.732611107018059,10.0,31,2.0,2,4.923105800374982,2.0,-0.19049469335692315,NRAS,P01111,False,6,12.17246072331215,14.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
COV434,SCCOHT,COV434,p46,NA,1.0,NRAS,ENSG00000213281,33.6216,5.113600493731906,5.0,31,1.0,2,4.923105800374982,2.0,0.19049469335692404,NRAS,P01111,False,6,12.12055631792753,17.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1369-R2,HGS,1369,p69,P66,1.0,BRAF,ENSG00000157764,3.8357042,2.2737259976381217,24.0,31,9.0,15,2.4101175607091063,12.0,-0.13639156307098466,BRAF,P15056,False,2,7.404855419109743,29.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV1946,HGS,OV1946,p64,NA,5.0,BRAF,ENSG00000157764,9.53802980429224,3.3975332600343937,4.0,31,2.0,15,2.4101175607091063,12.0,0.9874156993252874,BRAF,P15056,False,2,7.763659599073417,9.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
OV2085,HGS,OV2085,p68,P64,2.0,BRAF,ENSG00000157764,3.74479708,2.246346389050886,25.0,31,10.0,15,2.4101175607091063,12.0,-0.1637711716582202,BRAF,P15056,False,2,7.749110761216222,10.0,31,descriptive abundance; no clinical expression threshold; isodoping flagged where supplied
